GARE_IDE_GAR;GARE_IDE_GAR_ORI;GARE_IDE_GAR_DES;COMMUNE;commune;LATITUDE;LONGITUDE;ZONE_GARE_ORI;ZONE_GARE_DES;ZONE_GARE
758599;758599;758599;75109;Paris;48.8718083114; 2.3304290066;1;1;1
758722;758722;758722;92071;Chatenay-Malabry;48.7800404985; 2.2815489662;3;3;3
758748;758748;758748;92002;Antony;48.7624325685; 2.30488398555;3;3;3
758821;758821;758821;91477;Palaiseau;48.7061217032; 2.2116059812;4;4;4
758854;758854;758854;91122;Bures-sur-Yvette;48.6958044781; 2.16306227518;5;5;5
111278;111278;111278;75117;Paris;48.8940677111; 2.31441088724;1;1;1
113407;113407;113407;93010;Bondy;48.8943813736; 2.47873446467;3;3;3
113696;113696;113696;93064;Rosny-sous-Bois;48.8827036731; 2.48149612336;3;3;3
113746;113746;113746;94052;Nogent-sur-Marne;48.8387213192; 2.49407704122;3;3;3
113795;113795;113795;94079;Villiers-sur-Marne;48.8231802547; 2.54232320839;4;4;4
113852;113852;113852;93057;Les Pavillons-sous-Bois;48.9020940307; 2.51140436982;4;4;4
116012;116012;116012;77215;Gretz-Armainvilliers;48.7454247254; 2.72874414729;5;5;5
116079;116079;116079;77493;Verneuil-l'Etang;48.644845508; 2.82466540585;5;5;5
116160;116160;116160;77379;Provins;48.555694263; 3.30284528743;5;5;5
116178;116178;116178;77404;Sainte-Colombe;48.5301748255; 3.257217473;5;5;5
116327;116327;116327;77171;Esbly;48.9030870706; 2.81083070974;5;5;5
116343;116343;116343;77070;Chailly-en-Brie;48.8143452308; 3.15249004519;5;5;5
116376;116376;116376;77432;Saint-Rémy-la-Vanne;48.8001565925; 3.2462310892;5;5;5
116574;116574;116574;2186;Chézy-sur-Marne;48.9918518743; 3.36428923528;100;100;100
271023;271023;271023;75110;;48.8794550008; 2.35733955798;1;1;1
271429;271429;271429;93071;Sevran;48.9360642047; 2.53489935862;4;4;4
